"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	114879	"OSBPL5"	1.30964443616931	4.52769608025076	3.19889409538993	0.00181019509627189	0.0383767162317
"Ctrl_Res_Sens"	3216	"HOXB6"	1.44637689667562	5.08765956415493	3.19658051029254	0.00182349761948931	0.0385968800131585
"Ctrl_Res_Sens"	55300	"PI4K2B"	-1.17002153021997	3.79621955720757	-3.1896725402044	0.00186376059517236	0.0393509151001224
"Ctrl_Res_Sens"	10965	"ACOT2"	-1.25592147079078	3.97528056094945	-3.18945006240135	0.0018650709628677	0.0393509151001224
"Ctrl_Res_Sens"	1400	"CRMP1"	2.70293355009806	-1.5730811970474	3.18845683157973	0.00187093144696162	0.0393854556218042
"Ctrl_Res_Sens"	2040	"STOM"	-2.94415819274752	1.69634831466749	-3.18816401623086	0.0018726624526506	0.0393854556218042
"Ctrl_Res_Sens"	1113	"CHGA"	-4.03673939693859	-0.625780621474929	-3.18604814805956	0.00188521500683172	0.0395395284256343
"Ctrl_Res_Sens"	4345	"CD200"	3.72884836608286	-0.705574064218988	3.18592199898455	0.00188596586564179	0.0395395284256343
"Ctrl_Res_Sens"	255967	"PAN3"	1.14684696858585	4.79650094823739	3.18482121539391	0.00189252972775134	0.0395736788534845
"Ctrl_Res_Sens"	578	"BAK1"	-1.34595317837139	3.72825812805608	-3.18443994220442	0.00189480817727502	0.0395736788534845
"Ctrl_Res_Sens"	344148	"NCKAP5"	3.89663456146471	1.60240766275928	3.18312137618609	0.00190270749896927	0.0396392401635662
"Ctrl_Res_Sens"	55198	"APPL2"	-1.05975937860413	4.47203256757539	-3.17881974283746	0.0019286916091114	0.040075417519868
"Ctrl_Res_Sens"	10656	"KHDRBS3"	1.66100526324503	3.7053051772747	3.17865340201052	0.00192970299797081	0.040075417519868
"Ctrl_Res_Sens"	84888	"SPPL2A"	-1.01353002819996	4.69654736727743	-3.17752776945984	0.00193656007778901	0.0401547856881987
"Ctrl_Res_Sens"	6781	"STC1"	-4.46927094194817	-0.821943235948881	-3.17571298381425	0.00194766309252391	0.0403005615058828
"Ctrl_Res_Sens"	10924	"SMPDL3A"	-2.3173336624622	2.06070592527803	-3.16018107014387	0.00204514128429403	0.0419188652178136
